,Side,Win,First_Blood,First Tower,First_Inhibitor,First_Baron,First_Dragon,First_Rift_Herald,Tower_Destroyed,Inhibitor_Destroyed,Baron_Killed,Dragon_Killed,Vilemaw_Killed,Rift_Herald_Killed,Game_Duration,Total_Kills,Total_Deaths,Total_Assists,Total_Magic_Damage_Dealt,Total_Physical_Damage_Dealt,Total_True_Damage_Dealt,Total_Magic_Damage_To_Champions,Total_Physical_Damage_To_Champions,Total_True_Damage_To_Champions,Total_Heal,Total_Damage_Self_Mitigated,Total_Damage_Dealt_To_Objectives,Total_Damage_Dealt_To_Turrets,Total_Vision_Score,Total_Time_CCing_Others,Total_Magical_Damage_Taken,Total_Physical_Damage_Taken,Total_True_Damage_Taken,Total_Gold_Earned,Total_Minions_Killed,Total_Neutral_Minions_Killed,Total_Neutral_Minions_Killed_Team_Jungle,Total_Neutral_Minions_Killed_Enemy_Jungle,Total_Time_Crowd_Control_Dealt,Total_Champion_Level
0,Blue,1,1,1,0,0,1,0,3,0,0,1,0,0,944,22,11,16,60878,214863,31000,11375,19812,3072,8489,22469,16894,12053,53,53,17957,24170,2918,33464,371,112,44,48,409,52
1,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,944,11,22,11,70306,50582,15243,15754,6630,2920,2029,16050,4870,4690,40,69,11373,24629,3072,22981,234,0,0,0,312,43
2,Blue,1,1,0,1,1,0,0,10,2,1,1,0,0,2286,26,45,44,175548,659467,55397,27532,73528,16381,36719,111798,55687,28210,165,124,47291,91322,14940,72312,745,205,149,16,850,84
3,Red,0,0,1,0,0,1,1,10,2,0,5,0,2,2286,45,26,48,235762,608923,64911,43193,58652,13025,59723,171839,87670,25752,121,97,30115,105230,18267,71655,709,194,103,40,1617,73
4,Blue,1,1,0,0,1,0,0,5,0,1,3,0,0,1557,22,14,46,222996,233419,13267,31603,22167,2107,30298,35498,52609,13626,107,88,19756,47415,4319,47929,560,137,93,4,636,68
5,Red,0,0,1,0,0,1,1,2,0,0,1,0,1,1557,14,22,15,120576,228218,16493,18256,19157,4197,17278,38188,23188,5072,115,47,32943,35660,2106,39483,457,112,84,1,625,59
6,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,941,3,12,2,90059,93812,11188,5730,10649,876,6134,22090,3497,853,51,29,12175,24492,1088,21714,345,72,56,4,728,45
7,Red,1,1,1,0,0,1,0,1,0,0,1,0,0,941,12,3,15,86433,131191,9831,11860,13626,1088,10526,15540,10029,4179,50,26,7638,24567,876,27674,371,80,61,0,417,49
8,Blue,0,0,0,0,0,0,0,3,0,0,1,0,0,2172,24,41,40,273585,348464,24025,45421,33470,4498,19080,142689,21694,11033,180,181,36409,89506,5003,58287,698,149,124,6,1418,75
9,Red,1,1,1,1,0,1,1,10,3,0,4,0,1,2172,41,24,85,159671,552768,48768,33956,66761,5004,32871,155285,71736,24449,185,162,47520,60802,4497,68002,657,197,115,26,1484,82
